name	targets
Lepirudin	F2
Cetuximab	EGFR,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,C1S,FCGR1A,FCGR2A,FCGR2B,FCGR2C
Dornase alfa	
Denileukin diftitox	IL2RA,IL2RB,IL2RG
Etanercept	TNF,TNFRSF1B,FCGR1A,FCGR3A,FCGR2A,FCGR2B,FCGR2C,LTA,FCGR3B,C1S,C1R,C1QA,C1QB,C1QC
Bivalirudin	F2
Leuprolide	GNRHR
Peginterferon alfa-2a	IFNAR2,IFNAR1
Alteplase	PLG,FGA,PLAUR,SERPINE1
Sermorelin	GHRHR
Interferon alfa-n1	IFNAR2,IFNAR1
Darbepoetin alfa	EPOR
Urokinase	PLG,PLAUR,PLAU,PLAT,SERPINE1,SERPINB2,SERPINA5,LRP2,ST14,NID1
Goserelin	LHCGR,GNRHR
Reteplase	PLG,FGA,PLAUR,SERPINE1
Erythropoietin	EPOR
Salmon Calcitonin	CALCR
Interferon alfa-n3	IFNAR1,IFNAR2
Pegfilgrastim	CSF3R,ELANE
Sargramostim	CSF2RA,IL3RA,CSF2RB,SDC2,PRG2
Secretin	SCTR
Peginterferon alfa-2b	IFNAR1,IFNAR2
Asparaginase	
Thyrotropin Alfa	TSHR
Antihemophilic factor, human recombinant	F10,F9,VWF,PHYH,ASGR2,HSPA5,CALR,CANX,LMAN1,LRP1,MCFD2
Anakinra	IL1R1
Gramicidin D	
Immune Globulin Human	FCGR1A,FCGR1B,FCGR2A,FCGR2B,FCGR2C,FCGR3A,FCGR3B,C3,C4A,C4B,C5
Anistreplase	PLG,FGA,PLAUR,SERPINE1
Insulin Human	INSR,IGF1R,RB1,CTSD,IDE,PCSK2,CPE,PCSK1,NOV,LRP2,IGFBP7,SYTL4
Tenecteplase	PLG,FGA,PLAUR,SERPINE1,SERPINB2,CLEC3B,KRT8,ANXA2,CALR,CANX,LRP1
Menotropins	FSHR,LHCGR
Interferon gamma-1b	IFNGR1,IFNGR2
Interferon Alfa-2a, Recombinant	IFNAR1,IFNAR2
Desmopressin	AVPR2,AVPR1A,AVPR1B
Coagulation factor VIIa Recombinant Human	F10,HPN,TFPI,GGCX,F7,F3
Oprelvekin	IL11RA
Palifermin	FGFR2,NRP1,FGFR1,FGFR4,FGFR3,HSPG2
Glucagon recombinant	GCGR,GLP2R,GLP1R
Aldesleukin	IL2RB,IL2RA,IL2RG
Botulinum Toxin Type B	VAMP2,VAMP1,SYT2
Omalizumab	FCER1A,MS4A2
Lutropin alfa	LHCGR
OspA lipoprotein	TLR2
Insulin Lispro	INSR,IGF1R
Insulin Glargine	INSR,IGF1R
Collagenase clostridium histolyticum	COL1A1,COL2A1,COL3A1,COL1A2
Rasburicase	
Cetrorelix	GNRHR,LHCGR
Adalimumab	TNF,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,C1S,FCGR1A,FCGR2A,FCGR2B,FCGR2C
Somatotropin	GHR,PRLR
Imiglucerase	
Abciximab	ITGB3,ITGA2B,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,C1S,FCGR1A,FCGR2A,FCGR2B,FCGR2C,VTN
Drotrecogin alfa	F8,F5,SERPINE1,THBD,PROS1,CP,F2,PF4,SERPINA5,SERPINB6,GGCX,PROCR
Gemtuzumab ozogamicin	CD33,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,C1S,FCGR1A,FCGR2A,FCGR2B,FCGR2C
Indium In-111 satumomab pendetide	
Alpha-1-proteinase inhibitor	ELANE
Pegaspargase	
Interferon beta-1a	IFNAR1,IFNAR2
Pegademase bovine	GRB2
Human Serum Albumin	APOE,SAA1,AMBP
Eptifibatide	ITGB3
Infliximab	TNF
Follitropin	FSHR
Vasopressin	AVPR2,AVPR1A,AVPR1B
Interferon beta-1b	IFNAR1,IFNAR2
Interferon alfacon-1	IFNAR1,IFNAR2
Hyaluronidase	TGFB1
Insulin Pork	INSR,IGF1R,IDE,HLA-DQA2,HLA-DQB1,RB1,CTSD,CPE,PCSK2,PCSK1,NOV,LRP2,IGFBP7,SYTL4
Trastuzumab	ERBB2,EGFR,C1R,C1QA,C1QB,C1QC,C1S,FCGR1A,FCGR2A,FCGR2B,FCGR2C,FCGR3B,FCGR3A
Rituximab	MS4A1,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,C1S,FCGR1A,FCGR2A,FCGR2B,FCGR2C
Basiliximab	IL2RA,IL2RB,FCGR1A,FCGR3A,FCGR2A,FCGR2B,FCGR2C,FCGR3B,C1S,C1R,C1QA,C1QB,C1QC
Muromonab	CD3D,CD3E,CD3G,CD247,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,C1S,FCGR1A,FCGR2A,FCGR2B,FCGR2C
Digoxin Immune Fab (Ovine)	
Ibritumomab tiuxetan	MS4A1,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,C1S,FCGR1A,FCGR2A,FCGR2B,FCGR2C
Daptomycin	
Tositumomab	MS4A1,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,FCGR1A,FCGR2A,FCGR2B,FCGR2C
Pegvisomant	GHR
Botulinum Toxin Type A	SNAP25,RHOB
Pancrelipase	
Streptokinase	PLG,F2R
Alemtuzumab	CD52,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,FCGR1A,FCGR2A,FCGR2B,FCGR2C
Alglucerase	
Capromab pendetide	FOLH1
Laronidase	
Cyclosporine	CAMLG,PPP3R2,PPIA,PPIF
Alefacept	CD2,C1R,C1QA,C1QB,C1QC,FCGR3A,FCGR1A,FCGR2A,FCGR2B,FCGR2C,FCGR3B
Felypressin	AVPR1A
Urofollitropin	FSHR
Efalizumab	ITGAL,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,FCGR1A,FCGR2A,FCGR2B,FCGR2C
Choriogonadotropin alfa	LHCGR,FSHR
Antithymocyte immunoglobulin (rabbit)	CD1A,MR1,ITGAL,CD86,FCGR2B,CD4,ITGB1,ITGAV,ITGB3
Filgrastim	CSF3R,ELANE
Coagulation Factor IX (Recombinant)	F10,F11,F7,F8,F2,LRP1,GGCX
Becaplermin	PDGFRB,PDGFRA,A2M
Agalsidase beta	
Octreotide	SSTR1,SSTR5,SSTR2
Interferon Alfa-2b, Recombinant	IFNAR2,IFNAR1
Abarelix	GNRHR
Oxytocin	OXTR,OXT
Natalizumab	ITGA4,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,FCGR1A,FCGR2A,FCGR2B,FCGR2C,ICAM1
Enfuvirtide	GP41
Palivizumab	F,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,FCGR1A,FCGR2A,FCGR2B,FCGR2C
Daclizumab	IL2RA,IL2RB,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,FCGR1A,FCGR2A,FCGR2B,FCGR2C
Bevacizumab	VEGFA,FCGR3B,C1R,C1QA,C1QB,C1QC,FCGR3A,FCGR1A,FCGR2A,FCGR2B,FCGR2C
Technetium Tc-99m arcitumomab	CEACAM1
