drugbank_id	entrez_gene_id	category	actions	
Lepirudin	F2	target	inhibitor	
Bivalirudin	F2	target	inhibitor	
Antihemophilic Factor (Recombinant)	F2	enzyme	activator	
Drotrecogin alfa	F2	target		
Coagulation Factor IX (Recombinant)	F2	target		
Menadione	F2	target	activator	
Argatroban	F2	target	inhibitor	
Proflavine	F2	target	other/unknown	
Beta-(2-Naphthyl)-Alanine	F2	target		
Hemi-Babim	F2	target		
2-(2-Hydroxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine	F2	target		
4-Oxo-2-Phenylmethanesulfonyl-Octahydro-Pyrrolo[1,2-a]Pyrazine-6-Carboxylic Acid [1-(N-Hydroxycarbamimidoyl)-Piperidin-4-Ylmethyl]-Amide	F2	target		
4-Iodobenzo[B]Thiophene-2-Carboxamidine	F2	target		
CRA_8696	F2	target		
Gamma-Carboxy-Glutamic Acid	F2	target		
6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine	F2	target		
Lysophosphotidylserine	F2	target		
N-{2,2-DIFLUORO-2-[(2R)-PIPERIDIN-2-YL]ETHYL}-2-[2-(1H-1,2,4-TRIAZOL-1-YL)BENZYL][1,3]OXAZOLO[4,5-C]PYRIDIN-4-AMINE	F2	target		
TRANS-4-(GUANIDINOMETHYL)-CYCLOHEXANE-L-YL-D-3-CYCLOHEXYLALANYL-L-AZETIDINE-2-YL-D-TYROSINYL-L-HOMOARGININAMIDE	F2	target		
2-(3-CHLORO-6-{[2,2-DIFLUORO-2-(1-OXIDOPYRIDIN-2-YL)ETHYL]AMINO}-1-OXIDOPYRIDIN-2-YL)-N-[1-(3-CHLOROPHENYL)ETHYL]ACETAMIDE	F2	target		
1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE	F2	target		
1-GUANIDINO-4-(N-PHENYLMETHANESULFONYL-L-LEUCYL-L-PROLYLAMINO)BUTANE	F2	target		
Suramin	F2	target	inhibitor	
Ximelagatran	F2	target	inhibitor	
Thrombomodulin Alfa	F2	target	inhibitor	
C1 Esterase Inhibitor (Human)	F2	target	inhibitor	
Dabigatran etexilate	F2	target	inhibitor	
methyl L-phenylalaninate	F2	target		
D-phenylalanyl-N-[(1S)-4-{[amino(iminio)methyl]amino}-1-(chloroacetyl)butyl]-L-prolinamide	F2	target		
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentylamino)ethanoyl)pyrrolidine-2-carboxamide	F2	target		
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexylamino)ethanoyl)pyrrolidine-2-carboxamide	F2	target		
N-cycloheptylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	F2	target		
2-(2-HYDROXY-BIPHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	F2	target		
N-cyclooctylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	F2	target		
N-ALLYL-5-AMIDINOAMINOOXY-PROPYLOXY-3-CHLORO-N-CYCLOPENTYLBENZAMIDE	F2	target		
6-(2-HYDROXY-CYCLOPENTYL)-7-OXO-HEPTANAMIDINE	F2	target		
6-CARBAMIMIDOYL-2-[2-HYDROXY-6-(4-HYDROXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID	F2	target		
6-CARBAMIMIDOYL-2-[2-HYDROXY-5-(3-METHOXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID	F2	target		
N-(3-chlorobenzyl)-1-(4-methylpentanoyl)-L-prolinamide	F2	target		
1-[2-AMINO-2-CYCLOHEXYL-ACETYL]-PYRROLIDINE-3-CARBOXYLIC ACID 5-CHLORO-2-(2-ETHYLCARBAMOYL-ETHOXY)-BENZYLAMIDE	F2	target		
1-[(2R)-2-aminobutanoyl]-N-(3-chlorobenzyl)-L-prolinamide	F2	target		
D-leucyl-N-(3-chlorobenzyl)-L-prolinamide	F2	target		
D-phenylalanyl-N-(3-chlorobenzyl)-L-prolinamide	F2	target		
1-butanoyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	F2	target		
N-(4-carbamimidoylbenzyl)-1-(4-methylpentanoyl)-L-prolinamide	F2	target		
N-(4-carbamimidoylbenzyl)-1-(3-phenylpropanoyl)-L-prolinamide	F2	target		
1-[(2R)-2-aminobutanoyl]-N-(4-carbamimidoylbenzyl)-L-prolinamide	F2	target		
D-leucyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	F2	target		
D-phenylalanyl-N-{4-[amino(iminio)methyl]benzyl}-L-prolinamide	F2	target		
(3R)-8-(dioxidosulfanyl)-3-methyl-1,2,3,4-tetrahydroquinoline	F2	target		
D-phenylalanyl-N-(3-fluorobenzyl)-L-prolinamide	F2	target		
beta-phenyl-D-phenylalanyl-N-propyl-L-prolinamide	F2	target		
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentyloxy)ethanoyl)pyrrolidine-2-carboxamide	F2	target		
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexyloxy)ethanoyl)pyrrolidine-2-carboxamide	F2	target		
(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclopentylpropanoyl)pyrrolidine-2-carboxamide	F2	target		
2-[2-(4-CHLORO-PHENYLSULFANYL)-ACETYLAMINO]-3-(4-GUANIDINO-PHENYL)-PROPIONAMIDE	F2	target		
N4-(N,N-DIPHENYLCARBAMOYL)-AMINOGUANIDINE	F2	target		
N7-BUTYL-N2-(5-CHLORO-2-METHYLPHENYL)-5-METHYL[1,2,4]TRIAZOLO[1,5-A]PYRIMIDINE-2,7-DIAMINE	F2	target		
(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclohexylpropanoyl)pyrrolidine-2-carboxamide	F2	target		
D-phenylalanyl-N-(3-methylbenzyl)-L-prolinamide	F2	target		
D-phenylalanyl-N-benzyl-L-prolinamide	F2	target		
N-(5-CHLORO-BENZO[B]THIOPHEN-3-YLMETHYL)-2-[6-CHLORO-OXO-3-(2-PYRIDIN-2-YL-ETHYLAMINO)-2H-PYRAZIN-1-YL]-ACETAMIDE	F2	target		
3-cyclohexyl-D-alanyl-N-(3-chlorobenzyl)-L-prolinamide	F2	target		
