drugbank_id	category	uniprot_id	entrez_gene_id	organism	known_action	actions
DB00001	target	P00734	2147	Human	yes	inhibitor
DB00006	target	P00734	2147	Human	yes	inhibitor
DB00025	enzyme	P00734	2147	Human	unknown	activator
DB00055	target	P00734	2147	Human	unknown	
DB00100	target	P00734	2147	Human	unknown	
DB00170	target	P00734	2147	Human	unknown	activator
DB00278	target	P00734	2147	Human	yes	inhibitor
DB01123	target	P00734	2147	Human	no	other/unknown
DB01766	target	P00734	2147	Human	unknown	
DB01767	target	P00734	2147	Human	unknown	
DB02193	target	P00734	2147	Human	unknown	
DB02723	target	P00734	2147	Human	unknown	
DB03136	target	P00734	2147	Human	unknown	
DB03159	target	P00734	2147	Human	unknown	
DB03847	target	P00734	2147	Human	unknown	
DB03865	target	P00734	2147	Human	unknown	
DB04136	target	P00734	2147	Human	unknown	
DB04591	target	P00734	2147	Human	unknown	
DB04697	target	P00734	2147	Human	unknown	
DB04722	target	P00734	2147	Human	unknown	
DB04771	target	P00734	2147	Human	unknown	
DB04772	target	P00734	2147	Human	unknown	
DB04786	target	P00734	2147	Human	unknown	inhibitor
DB04898	target	P00734	2147	Human	yes	inhibitor
DB05777	target	P00734	2147	Human	yes	inhibitor
DB06404	target	P00734	2147	Human	unknown	inhibitor
DB06695	target	P00734	2147	Human	yes	inhibitor
DB06838	target	P00734	2147	Human	unknown	
DB06841	target	P00734	2147	Human	unknown	
DB06845	target	P00734	2147	Human	unknown	
DB06850	target	P00734	2147	Human	unknown	
DB06853	target	P00734	2147	Human	unknown	
DB06854	target	P00734	2147	Human	unknown	
DB06858	target	P00734	2147	Human	unknown	
DB06859	target	P00734	2147	Human	unknown	
DB06861	target	P00734	2147	Human	unknown	
DB06865	target	P00734	2147	Human	unknown	
DB06866	target	P00734	2147	Human	unknown	
DB06868	target	P00734	2147	Human	unknown	
DB06869	target	P00734	2147	Human	unknown	
DB06878	target	P00734	2147	Human	unknown	
DB06911	target	P00734	2147	Human	unknown	
DB06919	target	P00734	2147	Human	unknown	
DB06929	target	P00734	2147	Human	unknown	
DB06936	target	P00734	2147	Human	unknown	
DB06942	target	P00734	2147	Human	unknown	
DB06947	target	P00734	2147	Human	unknown	
DB06996	target	P00734	2147	Human	unknown	
DB07005	target	P00734	2147	Human	unknown	
DB07016	target	P00734	2147	Human	unknown	
DB07027	target	P00734	2147	Human	unknown	
DB07083	target	P00734	2147	Human	unknown	
DB07088	target	P00734	2147	Human	unknown	
DB07091	target	P00734	2147	Human	unknown	
DB07095	target	P00734	2147	Human	unknown	
DB07105	target	P00734	2147	Human	unknown	
DB07120	target	P00734	2147	Human	unknown	
DB07128	target	P00734	2147	Human	unknown	
DB07131	target	P00734	2147	Human	unknown	
DB07133	target	P00734	2147	Human	unknown	
DB07143	target	P00734	2147	Human	unknown	
DB07165	target	P00734	2147	Human	unknown	
DB07190	target	P00734	2147	Human	unknown	
DB07211	target	P00734	2147	Human	unknown	
DB07277	target	P00734	2147	Human	unknown	
